titolo	data
Iniziative per la XII giornata nazionale del fiocchetto lilla al San Gaetano	15 marzo 2023
“Per un’unica conoscenza”, l’evento dedicato a Pietro Greco in aula magna di palazzo Bo	15 marzo 2023
“Innovazione tecnologica, una grande opportunità”, l’incontro alla Civitas Vitae	15 marzo 2023
Cantiere delle donne itinerante, la riunione mensile con aperitivo a Noventa Padovana	15 marzo 2023
“Una palestra per la mente al museo”, presentazione del volume ai musei Eremitani	15 marzo 2023
La situazione in Turchia e Siria “Scintille di speranza tra le macerie”, l’incontro online di Caritas	15 marzo 2023
Conferenza online "La collezione di vetri del Museo d'Arti Applicate"	15 marzo 2023
Brain Awareness Week 2023 a Padova, tutti gli appuntamenti in città	dal 15 al 16 marzo 2023
To hike Padova a Vigodarzere	15 marzo 2023
Iniziative per la XII giornata nazionale del fiocchetto lilla al San Gaetano	15 marzo 2023
“Per un’unica conoscenza”, l’evento dedicato a Pietro Greco in aula magna di palazzo Bo	15 marzo 2023
“Innovazione tecnologica, una grande opportunità”, l’incontro alla Civitas Vitae	15 marzo 2023
Cantiere delle donne itinerante, la riunione mensile con aperitivo a Noventa Padovana	15 marzo 2023
“Una palestra per la mente al museo”, presentazione del volume ai musei Eremitani	15 marzo 2023
La situazione in Turchia e Siria “Scintille di speranza tra le macerie”, l’incontro online di Caritas	15 marzo 2023
Conferenza online "La collezione di vetri del Museo d'Arti Applicate"	15 marzo 2023
Brain Awareness Week 2023 a Padova, tutti gli appuntamenti in città	dal 15 al 16 marzo 2023
To hike Padova a Vigodarzere	15 marzo 2023
Iniziative per la XII giornata nazionale del fiocchetto lilla al San Gaetano	15 marzo 2023
“Per un’unica conoscenza”, l’evento dedicato a Pietro Greco in aula magna di palazzo Bo	15 marzo 2023
“Innovazione tecnologica, una grande opportunità”, l’incontro alla Civitas Vitae	15 marzo 2023
Cantiere delle donne itinerante, la riunione mensile con aperitivo a Noventa Padovana	15 marzo 2023
“Una palestra per la mente al museo”, presentazione del volume ai musei Eremitani	15 marzo 2023
La situazione in Turchia e Siria “Scintille di speranza tra le macerie”, l’incontro online di Caritas	15 marzo 2023
Conferenza online "La collezione di vetri del Museo d'Arti Applicate"	15 marzo 2023
Brain Awareness Week 2023 a Padova, tutti gli appuntamenti in città	dal 15 al 16 marzo 2023
To hike Padova a Vigodarzere	15 marzo 2023
"Il primo uomo che vide tutto?", agli Eremitani la rassegna "Da pedoni a piloti"	16 marzo 2023
Valentine Lomellini e Marco Almagisti spiegano alla Feltrinelli di Padova "La diplomazia del terrore"	16 marzo 2023
"Il primo uomo che vide tutto?", agli Eremitani la rassegna "Da pedoni a piloti"	16 marzo 2023
Valentine Lomellini e Marco Almagisti spiegano alla Feltrinelli di Padova "La diplomazia del terrore"	16 marzo 2023
"Il primo uomo che vide tutto?", agli Eremitani la rassegna "Da pedoni a piloti"	16 marzo 2023
